State,District,Year,Crop,Season,Area (Hectare),Production (Bales),Production (Nuts),Production (Tonnes),Yield (Bales/Hectare),Yield (Nuts/Hectare),Yield (Tonne/Hectare),Avg_Temp,Total_Rainfall,Avg_Humidity,Temp_Stress,Rain_Deviation,Yield_Class
Arunachal Pradesh,Upper siang,2019,Sugarcane,Whole Year,201.0,,,3607.0,,,17.95,16.270630136986302,2461.32,80.93008219178083,8.729369863013698,-297.00999999999976,0
Arunachal Pradesh,Upper siang,2020,Sugarcane,Whole Year,201.0,,,3617.0,,,18.0,16.057377049180328,3865.000000000001,82.14467213114754,8.942622950819672,1106.670000000001,0
Arunachal Pradesh,Upper siang,2021,Sugarcane,Whole Year,201.0,,,3617.0,,,18.0,16.334465753424656,2413.79,80.77561643835617,8.665534246575344,-344.53999999999996,0
Arunachal Pradesh,Upper siang,2022,Sugarcane,Whole Year,202.0,,,3635.0,,,18.0,16.01254794520548,3217.62,80.38991780821918,8.98745205479452,459.28999999999996,0
Arunachal Pradesh,Upper subansiri,2015,Sugarcane,Whole Year,63.0,,,1800.0,,,28.57,12.34504109589041,2289.36,86.03071232876714,12.65495890410959,-81.7175000000002,0
Arunachal Pradesh,Upper subansiri,2016,Sugarcane,Whole Year,72.0,,,2080.0,,,28.89,12.923087431693988,2243.14,84.95915300546447,12.076912568306012,-127.93750000000045,0
Arunachal Pradesh,Upper subansiri,2017,Sugarcane,Whole Year,72.0,,,2080.0,,,28.89,12.941972602739728,2456.7200000000003,84.98663013698629,12.058027397260272,85.64249999999993,0
Arunachal Pradesh,Upper subansiri,2018,Sugarcane,Whole Year,61.0,,,1789.0,,,29.33,12.39276712328767,1877.02,85.43079452054793,12.60723287671233,-494.05750000000035,0
Arunachal Pradesh,Upper subansiri,2019,Sugarcane,Whole Year,62.0,,,1810.0,,,29.19,12.531123287671232,2162.82,85.18271232876712,12.468876712328768,-208.25750000000016,0
Arunachal Pradesh,Upper subansiri,2020,Sugarcane,Whole Year,62.0,,,1820.0,,,29.35,12.389371584699454,3104.71,86.31306010928961,12.610628415300546,733.6324999999997,0
Arunachal Pradesh,Upper subansiri,2021,Sugarcane,Whole Year,62.0,,,1820.0,,,29.35,12.638246575342466,2133.8500000000004,85.284,12.361753424657534,-237.22749999999996,0
Arunachal Pradesh,Upper subansiri,2022,Sugarcane,Whole Year,62.0,,,1820.0,,,29.35,12.366136986301369,2701.0,83.97246575342466,12.633863013698631,329.9224999999997,0
Arunachal Pradesh,West siang,2015,Sugarcane,Whole Year,92.0,,,2949.0,,,32.05,18.044082191780824,2899.75,82.93482191780822,6.955917808219176,-132.3487500000001,0
Arunachal Pradesh,West siang,2016,Sugarcane,Whole Year,101.0,,,3229.0,,,31.97,18.52431693989071,2775.75,82.60806010928961,6.47568306010929,-256.3487500000001,0
Arunachal Pradesh,West siang,2017,Sugarcane,Whole Year,101.0,,,3229.0,,,31.97,18.54057534246575,3221.72,81.80879452054795,6.4594246575342495,189.6212499999997,0
